PID,Name,CPU%,Memory (KB),Status
9528,AppActions.exe,0.0,4378624,Run
34180,msedgewebview2.exe,0.0,39927808,Run
22348,WINWORD.EXE,0.0,199090176,Run
4520,WTabletServicePro.exe,0.0,3342336,Run
15808,SecurityHealthSystray.exe,0.0,3870720,Run
19224,Notion.exe,0.0,17391616,Run
6884,MSI_Center_S_Server_HardwareMonitor.exe,0.0,4136960,Run
10084,ctfmon.exe,0.5,13778944,Run
3740,spoolsv.exe,0.0,4677632,Run
5392,MSI Center S.exe,0.0,8847360,Run
1648,WUDFHost.exe,0.0,0,Run
27656,msedgewebview2.exe,0.0,22147072,Run
7396,svchost.exe,0.0,16371712,Run
3968,armsvc.exe,0.0,0,Run
18032,ms-teams_modulehost.exe,0.0,22319104,Run
3868,svchost.exe,0.0,2486272,Run
12088,WindowsWidgets.WinUI.exe,0.0,40775680,Run
30336,RuntimeBroker.exe,0.0,794624,Run
6608,msedgewebview2.exe,0.0,42618880,Run
3636,svchost.exe,0.0,1871872,Run
8472,NgcIso.exe,0.0,0,Run
4408,svchost.exe,0.0,13258752,Run
23800,msedgewebview2.exe,0.0,1921024,Run
1240,lsass.exe,0.0,15683584,Run
1944,svchost.exe,0.0,2768896,Run
4148,jhi_service.exe,0.0,0,Run
1856,svchost.exe,0.0,4022272,Run
15796,TranslucentTB.exe,1.0,7139328,Run
4456,MsMpEng.exe,0.0,386846720,Run
4036,keymanx64.exe,0.0,0,Run
9176,svchost.exe,0.0,10596352,Run
21448,msedgewebview2.exe,0.0,974848,Run
4564,svchost.exe,0.0,1310720,Run
10368,svchost.exe,0.0,3403776,Run
13616,Code.exe,0.0,4734976,Run
28896,cargo.exe,0.0,12128256,Run
7692,svchost.exe,0.0,2412544,Run
37668,msedgewebview2.exe,0.0,7856128,Run
17852,msedgewebview2.exe,0.0,1286144,Run
8528,svchost.exe,0.0,7991296,Run
8280,Wacom_TouchUser.exe,0.0,2105344,Run
30432,msedge.exe,0.0,2498560,Run
5432,svchost.exe,0.0,1265664,Run
11524,svchost.exe,0.0,9420800,Run
3300,IntelAudioService.exe,0.0,1150976,Run
12948,Discord.exe,0.0,51580928,Run
3100,OneApp.IGCC.WinService.exe,0.0,5087232,Run
1840,svchost.exe,0.0,921600,Run
4276,MSI_Center_S_Service.exe,0.0,954368,Run
8412,svchost.exe,0.0,1368064,Run
2824,svchost.exe,0.0,1163264,Run
3372,svchost.exe,0.0,1347584,Run
3840,BlueStacksServices.exe,0.0,3592192,Run
6916,MSI_Center_S_Server_UserScenario.exe,0.0,4427776,Run
7424,svchost.exe,0.0,1458176,Run
6576,RuntimeBroker.exe,0.0,9633792,Run
14252,MoNotificationUx.exe,0.0,1052672,Run
40520,msedge.exe,0.0,6119424,Run
18084,msedgewebview2.exe,0.0,73728,Run
32084,taskhostw.exe,0.0,4808704,Run
15184,msedgewebview2.exe,0.0,3100672,Run
40908,svchost.exe,0.0,9027584,Run
4252,MpDefenderCoreService.exe,0.0,8400896,Run
39652,dllhost.exe,0.0,987136,Run
24088,SearchHost.exe,0.0,28729344,Run
28884,msedgewebview2.exe,0.0,7454720,Run
3928,wlanext.exe,0.0,1396736,Run
3308,svchost.exe,0.0,2867200,Run
4092,svchost.exe,0.0,1232896,Run
4020,svchost.exe,0.0,24072192,Run
1068,wininit.exe,0.0,475136,Run
18040,msedgewebview2.exe,0.0,2207744,Run
31604,RtkUWP.exe,0.0,69632,Run
18524,Discord.exe,2.0,104669184,Run
22140,AppVShNotify.exe,0.0,602112,Run
33972,msedge.exe,0.0,29917184,Run
18024,msedgewebview2.exe,0.0,6955008,Run
6856,MSI_Center_S_Server_LANManager.exe,0.0,1372160,Run
23012,RuntimeBroker.exe,0.0,1601536,Run
11844,MoUsoCoreWorker.exe,0.0,4177920,Run
3044,keyman.exe,0.0,2236416,Run
29588,prevhost.exe,0.0,667648,Run
27540,svchost.exe,0.0,1531904,Run
16600,RuntimeBroker.exe,0.0,2437120,Run
10124,Notion.exe,1.0,39911424,Run
35652,FileCoAuth.exe,0.0,13082624,Run
26968,Code.exe,0.0,53936128,Run
22708,msedge.exe,0.0,31707136,Run
4592,svchost.exe,0.0,1114112,Run
5448,svchost.exe,0.0,1052672,Run
5156,WmiPrvSE.exe,0.0,24256512,Run
38748,msedgewebview2.exe,0.0,55521280,Run
37096,OneDrive.Sync.Service.exe,0.0,14831616,Run
4848,Code.exe,0.0,94961664,Run
4756,msedgewebview2.exe,0.0,577536,Run
6384,svchost.exe,0.0,1556480,Run
22720,CrossDeviceService.exe,0.5,27144192,Run
30308,LineMediaPlayer.exe,2.0,5070848,Run
2068,svchost.exe,0.0,1077248,Run
32784,msedgewebview2.exe,0.0,29290496,Run
712,smss.exe,0.0,73728,Run
11780,GoogleDriveFS.exe,0.0,270336,Run
22416,brightdata.exe,0.0,2646016,Run
29164,msedgewebview2.exe,0.0,2879488,Run
1744,dwm.exe,0.0,103686144,Run
1972,svchost.exe,0.0,5394432,Run
3608,svchost.exe,0.0,8933376,Run
2340,svchost.exe,0.0,2699264,Run
6680,msedgewebview2.exe,0.0,1245184,Run
3792,svchost.exe,0.0,9760768,Run
6924,MSI_Center_S_Server_Support.exe,0.0,1363968,Run
13708,conhost.exe,0.0,1609728,Run
27832,crashpad_handler.exe,0.0,1302528,Run
23536,msedgewebview2.exe,0.0,626688,Run
4296,net_updater64.exe,0.0,39452672,Run
